n = 7,Count
A,"7,828,353"
B,"7,820,773"
C,"7,813,360"
D,"7,806,095"
E,"7,798,964"
F,"7,791,956"
G,"7,785,062"
A∧B,"19,030,033,064"
A∧C,"18,101,866,109"
B∧C,"17,234,377,418"
A∧D,"17,013,601,178"
B∧D,"16,232,528,275"
C∧D,"15,563,422,130"
A∧E,"15,832,829,653"
B∧E,"15,138,229,959"
C∧E,"14,540,188,572"
D∧E,"14,011,884,917"
A∧F,"14,615,229,525"
B∧F,"14,003,352,878"
C∧F,"13,473,861,067"
D∧F,"13,004,263,007"
E∧F,"12,581,144,631"
A∧G,"13,403,428,183"
B∧G,"12,868,287,076"
C∧G,"12,402,898,148"
D∧G,"11,988,555,409"
E∧G,"11,614,035,265"
F∧G,"11,271,855,320"
A∧B∧C,"429,772,668,698"
A∧B∧D,"299,482,949,006"
A∧C∧D,"211,577,335,582"
B∧C∧D,"151,559,735,661"
A∧B∧E,"150,376,384,215"
A∧C∧E,"111,008,430,861"
B∧C∧E,"82,981,396,745"
A∧D∧E,"74,288,218,590"
B∧D∧E,"57,382,154,971"
C∧D∧E,"46,517,925,168"
A∧B∧F,"59,189,382,742"
A∧C∧F,"45,674,695,021"
B∧C∧F,"35,621,268,558"
A∧D∧F,"32,525,168,104"
B∧D∧F,"26,037,446,355"
C∧D∧F,"21,694,252,299"
A∧E∧F,"22,213,069,283"
B∧E∧F,"18,189,098,769"
C∧E∧F,"15,419,352,758"
D∧E∧F,"13,364,099,496"
A∧B∧G,"19,939,698,964"
A∧C∧G,"15,987,757,720"
B∧C∧G,"12,929,492,918"
A∧D∧G,"11,993,269,663"
B∧D∧G,"9,900,019,902"
C∧D∧G,"8,445,198,819"
A∧E∧G,"8,658,601,797"
B∧E∧G,"7,276,094,542"
C∧E∧G,"6,292,440,690"
D∧E∧G,"5,543,255,235"
A∧F∧G,"6,103,489,205"
B∧F∧G,"5,207,468,268"
C∧F∧G,"4,556,420,741"
D∧F∧G,"4,052,357,260"
E∧F∧G,"3,646,283,143"
A∧B∧C∧D,"32,922,640,337"
A∧B∧C∧E,"17,766,209,614"
A∧B∧D∧E,"9,612,257,535"
A∧C∧D∧E,"5,215,602,519"
B∧C∧D∧E,"2,839,032,898"
A∧B∧C∧F,"2,732,144,989"
A∧B∧D∧F,"1,528,973,581"
A∧C∧D∧F,"860,048,696"
B∧C∧D∧F,"486,556,195"
A∧B∧E∧F,"432,789,228"
A∧C∧E∧F,"255,479,271"
B∧C∧E∧F,"152,158,331"
A∧D∧E∧F,"120,561,501"
B∧D∧E∧F,"75,868,690"
C∧D∧E∧F,"52,428,089"
A∧B∧C∧G,"86,339,423"
A∧B∧D∧G,"50,562,619"
A∧C∧D∧G,"29,851,252"
B∧C∧D∧G,"17,781,697"
A∧B∧E∧G,"16,313,824"
A∧C∧E∧G,"10,128,317"
B∧C∧E∧G,"6,359,637"
A∧D∧E∧G,"5,200,055"
B∧D∧E∧G,"3,437,390"
C∧D∧E∧G,"2,469,391"
A∧B∧F∧G,"3,229,412"
A∧C∧F∧G,"2,119,475"
B∧C∧F∧G,"1,408,895"
A∧D∧F∧G,"1,190,233"
B∧D∧F∧G,"828,298"
C∧D∧F∧G,"619,589"
A∧E∧F∧G,"622,859"
B∧E∧F∧G,"451,094"
C∧E∧F∧G,"348,035"
D∧E∧F∧G,"279,329"
A∧B∧C∧D∧E,"1,135,957"
A∧B∧C∧D∧F,"577,299"
A∧B∧C∧E∧F,"293,465"
A∧B∧D∧E∧F,"149,223"
A∧C∧D∧E∧F,"75,901"
B∧C∧D∧E∧F,"38,619"
A∧B∧C∧D∧G,"37,282"
A∧B∧C∧E∧G,"19,262"
A∧B∧D∧E∧G,"9,962"
A∧C∧D∧E∧G,"5,158"
B∧C∧D∧E∧G,"2,674"
A∧B∧C∧F∧G,"2,484"
A∧B∧D∧F∧G,"1,324"
A∧C∧D∧F∧G,708
B∧C∧D∧F∧G,380
A∧B∧E∧F∧G,328
A∧C∧E∧F∧G,184
B∧C∧E∧F∧G,104
A∧D∧E∧F∧G,80
B∧D∧E∧F∧G,48
C∧D∧E∧F∧G,32
A∧B∧C∧D∧E∧F,64
A∧B∧C∧D∧E∧G,32
A∧B∧C∧D∧F∧G,16
A∧B∧C∧E∧F∧G,8
A∧B∧D∧E∧F∧G,4
A∧C∧D∧E∧F∧G,2
B∧C∧D∧E∧F∧G,1
